Student Name,StationSimulation TestStationSimulation,StationSimulation TestCreateVehicle,StationSimulation TestServiceVehicle,Vehicle TestVehicleClass,Vehicle TestConstructor,Vehicle TestToString,FuelStation TestDefaultConstructor,FuelStation TestToStringMethod,FuelStation TestSellFuelPrivateMethod,FuelStation TestCanDispenseFuelType,FuelStation TestDispenseMethod
816021591,1,1,1,1,1,1,1,1,1,1,1
816021591,0,0,0,0,0,0,0,0,0,0,0
null,1,0,0,1,1,0,1,1,0,1,0
null,1,0,0,1,1,0,1,1,0,1,0
null,1,0,0,1,1,0,1,1,0,1,0
null,1,0,0,1,1,0,1,1,0,1,0
null,1,0,0,1,1,0,1,1,0,1,0
null,1,0,0,1,1,0,1,1,0,1,0
null,1,0,0,1,1,0,1,1,0,1,0
null,1,0,0,1,1,0,1,1,0,1,0
null,1,0,0,1,1,0,1,1,0,1,0
816039528,1,0,0,1,1,0,1,1,0,1,0
620126638,1,0,0,0,0,0,1,0,0,1,1
816039528,1,0,0,1,1,1,1,1,0,1,0
816039528,1,0,0,1,1,1,1,1,0,1,0
null,1,0,0,1,1,1,1,0,1,1,1
null,1,0,0,1,1,1,1,0,1,1,1
null,1,0,0,1,1,1,1,0,1,1,1
816039881,1,0,0,1,0,0,1,0,1,1,1
null,1,0,0,1,1,1,1,0,1,1,1
816039940-Lab,0,0,0,0,0,0,0,0,0,0,0
816021835,0,0,0,0,0,0,0,0,0,0,0
816041435,1,0,0,1,1,1,1,0,1,1,1
null,0,0,0,0,0,0,0,0,0,0,0
816042173,1,0,0,1,0,0,1,0,1,0,0
null,0,0,0,0,0,0,0,0,0,0,0
816034459,1,1,1,1,1,1,1,0,1,1,1
816031734,1,1,1,1,1,1,1,1,1,1,1
816039297Lab,0,0,0,0,0,0,0,0,0,0,0
null,1,0,0,1,0,0,1,0,0,1,0
null,1,0,0,1,0,0,1,0,0,1,0
null,1,1,0,1,1,0,1,0,0,1,0
null,1,1,0,1,1,0,1,0,0,1,0
null,1,1,0,1,1,0,1,0,0,1,0
816034871,1,1,0,1,1,0,1,0,1,1,0
null,1,0,0,1,0,0,0,0,0,0,0
null,1,0,0,1,0,0,0,0,0,0,0
null,1,1,0,1,1,0,1,0,0,1,0
null,1,1,0,1,1,0,1,0,0,1,0
null,1,1,0,1,1,0,1,0,0,1,0
null,1,1,0,1,1,0,1,0,0,1,0
Testing,0,0,0,0,0,0,0,0,0,0,0
Testing,0,0,0,0,0,0,0,0,0,0,0
danielrasheed,1,1,1,1,1,1,1,1,1,1,1
